gene	dnLGD.DD	dnLGD.DD.pct_real	dnLGD.DD.pct	dnLGD.ASD	dnLGD.ASD.pct	dnMIS.DD	dnMIS.DD.pct	dnMIS.ASD	dnMIS.ASD.pct	NDD.FDR.sig.var	Sig.col
ARID1B	106	0.341362875	0.291362875	12	0.077120823	13	0.041865258	10	0.064267352	FWER-intersection (138)	2
KMT2A	64	0.206105887	0.206105887	6	0.038560411	26	0.083730517	3	0.019280206	FWER-intersection (138)	2
DYRK1A	64	0.206105887	0.206105887	4	0.025706941	16	0.051526472	0	0	FWER-intersection (138)	2
CTNNB1	60	0.193224269	0.193224269	4	0.025706941	2	0.006440809	1	0.006426735	FWER-intersection (138)	2
ADNP	58	0.18678346	0.18678346	20	0.128534704	4	0.012881618	5	0.032133676	FWER-intersection (138)	2
DDX3X	50	0.161020224	0.161020224	1	0.006426735	65	0.209326291	4	0.025706941	FWER-intersection (138)	2
MED13L	42	0.135256988	0.135256988	5	0.032133676	30	0.096612134	5	0.032133676	FWER-intersection (138)	2
SETD5	40	0.128816179	0.128816179	5	0.032133676	7	0.022542831	4	0.025706941	FWER-intersection (138)	2
GATAD2B	39	0.125595775	0.125595775	0	0	3	0.009661213	0	0	FWER-intersection (138)	2
POGZ	35	0.112714157	0.112714157	11	0.070694087	9	0.02898364	6	0.038560411	FWER-intersection (138)	2
EHMT1	35	0.112714157	0.112714157	2	0.01285347	11	0.035424449	3	0.019280206	FWER-intersection (138)	2
SATB2	32	0.103052943	0.103052943	0	0	36	0.115934561	5	0.032133676	FWER-intersection (138)	2
TCF4	31	0.099832539	0.099832539	3	0.019280206	20	0.06440809	1	0.006426735	FWER-intersection (138)	2
EFTUD2	31	0.099832539	0.099832539	1	0.006426735	12	0.038644854	2	0.01285347	FWER-intersection (138)	2
CHD7	31	0.099832539	0.099832539	0	0	20	0.06440809	6	0.038560411	FWER-intersection (138)	2
EP300	30	0.096612134	0.096612134	2	0.01285347	22	0.070848899	7	0.044987147	FWER-intersection (138)	2
KMT2D	30	0.096612134	0.096612134	0	0	17	0.054746876	3	0.019280206	FWER-intersection (138)	2
STXBP1	28	0.090171326	0.090171326	3	0.019280206	39	0.125595775	5	0.032133676	FWER-intersection (138)	2
NSD1	27	0.086950921	0.086950921	1	0.006426735	15	0.048306067	9	0.057840617	FWER-intersection (138)	2
WAC	26	0.083730517	0.083730517	4	0.025706941	2	0.006440809	1	0.006426735	FWER-intersection (138)	2
ASXL1	26	0.083730517	0.083730517	1	0.006426735	1	0.003220404	1	0.006426735	FWER-intersection (138)	2
SYNGAP1	25	0.080510112	0.080510112	8	0.051413882	8	0.025763236	5	0.032133676	FWER-intersection (138)	2
ASXL3	24	0.077289708	0.077289708	3	0.019280206	1	0.003220404	0	0	FWER-intersection (138)	2
WDR45	24	0.077289708	0.077289708	1	0.006426735	11	0.035424449	0	0	FWER-intersection (138)	2
CASK	24	0.077289708	0.077289708	1	0.006426735	10	0.032204045	0	0	FWER-intersection (138)	2
ZEB2	23	0.074069303	0.074069303	0	0	4	0.012881618	2	0.01285347	FWER-intersection (138)	2
ARID2	23	0.074069303	0.074069303	0	0	0	0	2	0.01285347	FWER-intersection (138)	2
SCN2A	22	0.070848899	0.070848899	15	0.096401028	57	0.183563056	20	0.128534704	FWER-intersection (138)	2
PPM1D	22	0.070848899	0.070848899	0	0	0	0	0	0	FWER-intersection (138)	2
SON	21	0.067628494	0.067628494	2	0.01285347	4	0.012881618	3	0.019280206	FWER-intersection (138)	2
CHD2	20	0.06440809	0.06440809	10	0.064267352	12	0.038644854	9	0.057840617	FWER-intersection (138)	2
CHD8	19	0.061187685	0.061187685	18	0.115681234	8	0.025763236	12	0.077120823	FWER-intersection (138)	2
KDM5B	19	0.061187685	0.061187685	10	0.064267352	12	0.038644854	13	0.083547558	FWER-intersection (138)	2
FOXP1	19	0.061187685	0.061187685	7	0.044987147	8	0.025763236	2	0.01285347	FWER-intersection (138)	2
NEXMIF	18	0.057967281	0.057967281	1	0.006426735	2	0.006440809	1	0.006426735	FWER-intersection (138)	2
KANSL1	18	0.057967281	0.057967281	0	0	8	0.025763236	2	0.01285347	FWER-intersection (138)	2
MECP2	17	0.054746876	0.054746876	2	0.01285347	27	0.086950921	7	0.044987147	FWER-intersection (138)	2
KAT6A	17	0.054746876	0.054746876	1	0.006426735	8	0.025763236	3	0.019280206	FWER-intersection (138)	2
USP9X	17	0.054746876	0.054746876	0	0	9	0.02898364	3	0.019280206	FWER-intersection (138)	2
SRRM2	16	0.051526472	0.051526472	3	0.019280206	7	0.022542831	5	0.032133676	FWER-intersection (138)	2
SIN3A	16	0.051526472	0.051526472	2	0.01285347	3	0.009661213	2	0.01285347	FWER-intersection (138)	2
KAT6B	16	0.051526472	0.051526472	0	0	1	0.003220404	0	0	FWER-intersection (138)	2
