hgnc_symbol	dnLGD	dnLGD_REAL	dnMIS	dnMIS30
TTN	13	13	82	0
SCN2A	37	37	77	23
DYNC1H1	7	7	74	45
DDX3X	51	51	69	28
GRIN2B	14	14	60	21
CHD3	4	4	51	23
KCNQ2	0	0	46	12
STXBP1	31	31	44	24
PTPN11	0	0	43	13
KIF1A	0	0	42	26
SATB2	32	32	41	22
CACNA1A	3	3	41	23
SCN8A	3	3	40	8
SCN1A	14	14	38	8
SLC6A1	7	7	37	24
BRAF	0	0	37	14
MED13L	47	47	35	6
MECP2	19	19	34	5
ATP1A3	2	2	34	15
SPTAN1	1	1	33	16
SMARCA2	0	0	32	17
PTEN	15	15	31	5
ITPR1	3	3	31	11
SMARCA4	1	1	31	18
KMT2A	70	70	29	7
EP300	32	32	29	4
KCNB1	6	6	29	3
MUC16	5	5	29	0
TRIO	3	3	29	19
RYR2	1	1	29	7
TRRAP	0	0	29	10
SYNE1	2	2	28	5
FBN1	10	10	27	8
TBL1XR1	10	10	27	5
CHD7	31	31	26	14
HUWE1	0	0	26	8
KDM5B	29	29	25	9
DNMT3A	7	7	25	11
LRP1	4	4	25	9
CSMD1	3	3	25	3
NSD1	28	28	24	6
CREBBP	13	13	24	0
HECW2	2	2	24	16
ARID1B	98	118	23	9
CDK13	5	5	23	16
NEB	4	4	23	4
NALCN	2	2	23	6
RYR1	0	0	22	3
TCF4	34	34	21	13
CHD2	30	30	21	11
CACNA1E	3	3	21	5
DEAF1	1	1	21	11
CHD8	37	37	20	8
KMT2D	30	30	20	0
PRPF8	4	4	20	7
SYNE2	4	4	20	3
COL4A1	3	3	20	3
DNAH2	1	1	20	6
EBF3	13	13	19	7
CTCF	10	10	19	12
ABCA13	1	1	19	2
ADGRV1	1	1	19	1
GABRB2	0	0	19	2
PIK3CA	0	0	19	6
CHD4	4	4	18	4
BIRC6	2	2	18	1
MYCBP2	2	2	18	3
VPS13D	2	2	18	2
EPPK1	1	1	18	1
PLEC	1	1	18	2
EEF1A2	0	0	18	10
PPP2R1A	0	0	18	11
MEF2C	14	14	17	7
SPTBN1	6	6	17	8
ANK3	6	6	17	3
CSNK2A1	3	3	17	9
MDN1	3	3	17	4
DNAH5	2	2	17	0
FAT1	2	2	17	3
CACNA1G	1	1	17	10
APOB	1	1	17	0
LAMA1	1	1	17	4
GABRA1	0	0	17	2
PABPC1	0	0	17	4
CAD	0	0	17	6
PRKDC	0	0	17	1
DYRK1A	68	68	16	5
LRP2	5	5	16	3
DNAH17	3	3	16	5
PPP2R5D	2	2	16	7
RELN	2	2	16	5
GRIN2A	1	1	16	1
LZTR1	1	1	16	4
SYT1	1	1	16	3
DNM1	0	0	16	9
SNRNP200	0	0	16	1
PLCG2	0	0	16	3
CACNA1I	0	0	16	4
SPTBN2	0	0	16	4
POGZ	46	46	15	6
